Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 6.4837 	 FL_acc 10.0060 	 Test images 10000
Round 014 	 FL_loss 3.6093 	 FL_acc 14.6034 	 Test images 10000
Round 015 	 FL_loss 3.0989 	 FL_acc 20.0621 	 Test images 10000
Round 016 	 FL_loss 3.4806 	 FL_acc 16.6967 	 Test images 10000
Round 017 	 FL_loss 3.0852 	 FL_acc 22.4058 	 Test images 10000
Round 018 	 FL_loss 3.4466 	 FL_acc 16.9671 	 Test images 10000
Round 019 	 FL_loss 3.0604 	 FL_acc 24.4391 	 Test images 10000
Round 020 	 FL_loss 3.3589 	 FL_acc 17.4980 	 Test images 10000
Round 021 	 FL_loss 3.0372 	 FL_acc 26.0917 	 Test images 10000
Round 022 	 FL_loss 3.4222 	 FL_acc 17.9788 	 Test images 10000
Round 023 	 FL_loss 3.0153 	 FL_acc 26.2220 	 Test images 10000
Round 024 	 FL_loss 3.3956 	 FL_acc 20.1322 	 Test images 10000
Round 025 	 FL_loss 3.0078 	 FL_acc 26.6226 	 Test images 10000
Round 026 	 FL_loss 3.3331 	 FL_acc 21.3442 	 Test images 10000
Round 027 	 FL_loss 2.9573 	 FL_acc 27.8245 	 Test images 10000
Round 028 	 FL_loss 3.3423 	 FL_acc 21.2740 	 Test images 10000
Round 029 	 FL_loss 2.9804 	 FL_acc 28.6558 	 Test images 10000
Round 030 	 FL_loss 2.9950 	 FL_acc 29.9679 	 Test images 10000
Round 031 	 FL_loss 3.0796 	 FL_acc 29.6374 	 Test images 10000
Round 032 	 FL_loss 3.1119 	 FL_acc 29.9379 	 Test images 10000
Round 033 	 FL_loss 3.1372 	 FL_acc 30.3085 	 Test images 10000
Round 034 	 FL_loss 3.1517 	 FL_acc 30.5088 	 Test images 10000
Round 035 	 FL_loss 3.1769 	 FL_acc 30.5889 	 Test images 10000
Round 036 	 FL_loss 3.1766 	 FL_acc 31.0296 	 Test images 10000
Round 037 	 FL_loss 3.1825 	 FL_acc 30.9996 	 Test images 10000
Round 038 	 FL_loss 3.1931 	 FL_acc 31.0497 	 Test images 10000
Round 039 	 FL_loss 3.2015 	 FL_acc 31.3401 	 Test images 10000
Round 040 	 FL_loss 3.2077 	 FL_acc 31.3201 	 Test images 10000
Round 041 	 FL_loss 3.2224 	 FL_acc 31.2901 	 Test images 10000
Round 042 	 FL_loss 3.2271 	 FL_acc 31.2901 	 Test images 10000
Round 043 	 FL_loss 3.2261 	 FL_acc 31.6306 	 Test images 10000
Round 044 	 FL_loss 3.2395 	 FL_acc 31.4804 	 Test images 10000
Round 045 	 FL_loss 3.2451 	 FL_acc 31.3702 	 Test images 10000
Round 046 	 FL_loss 3.2396 	 FL_acc 31.8910 	 Test images 10000
Round 047 	 FL_loss 3.2572 	 FL_acc 31.3902 	 Test images 10000
Round 048 	 FL_loss 3.2598 	 FL_acc 31.5805 	 Test images 10000
Round 049 	 FL_loss 3.2557 	 FL_acc 31.6807 	 Test images 10000
Round 050 	 FL_loss 3.2689 	 FL_acc 31.6306 	 Test images 10000
Best FL accuracy: 31.89102554321289 on round 46
Defense Method:  none
Finished computations with time: 0:08:47.556184

Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 3.3878 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 3.5524 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 3.1710 	 FL_acc 10.0761 	 Test images 10000
Round 004 	 FL_loss 3.0340 	 FL_acc 10.3365 	 Test images 10000
Round 005 	 FL_loss 2.8045 	 FL_acc 15.1442 	 Test images 10000
Round 006 	 FL_loss 3.0739 	 FL_acc 10.1262 	 Test images 10000
Round 007 	 FL_loss 3.8534 	 FL_acc 10.0060 	 Test images 10000
Round 008 	 FL_loss 2.7204 	 FL_acc 11.0276 	 Test images 10000
Round 009 	 FL_loss 3.0500 	 FL_acc 12.2997 	 Test images 10000
Round 010 	 FL_loss 3.0628 	 FL_acc 10.1562 	 Test images 10000
Round 011 	 FL_loss 3.1862 	 FL_acc 11.5885 	 Test images 10000
Round 012 	 FL_loss 2.8252 	 FL_acc 12.2196 	 Test images 10000
Round 013 	 FL_loss 2.9737 	 FL_acc 18.6599 	 Test images 10000
Round 014 	 FL_loss 2.8086 	 FL_acc 11.4083 	 Test images 10000
Round 015 	 FL_loss 3.0604 	 FL_acc 17.9788 	 Test images 10000
Round 016 	 FL_loss 2.8465 	 FL_acc 13.9924 	 Test images 10000
Round 017 	 FL_loss 2.9558 	 FL_acc 19.3109 	 Test images 10000
Round 018 	 FL_loss 2.8291 	 FL_acc 16.5765 	 Test images 10000
Round 019 	 FL_loss 2.7988 	 FL_acc 23.1771 	 Test images 10000
Round 020 	 FL_loss 2.9929 	 FL_acc 16.5565 	 Test images 10000
Round 021 	 FL_loss 2.9740 	 FL_acc 21.7348 	 Test images 10000
Round 022 	 FL_loss 2.8052 	 FL_acc 16.6066 	 Test images 10000
Round 023 	 FL_loss 2.8142 	 FL_acc 22.2356 	 Test images 10000
Round 024 	 FL_loss 2.7680 	 FL_acc 21.4243 	 Test images 10000
Round 025 	 FL_loss 2.9121 	 FL_acc 24.1386 	 Test images 10000
Round 026 	 FL_loss 2.8192 	 FL_acc 21.7548 	 Test images 10000
Round 027 	 FL_loss 2.8505 	 FL_acc 26.2720 	 Test images 10000
Round 028 	 FL_loss 2.8960 	 FL_acc 23.0369 	 Test images 10000
Round 029 	 FL_loss 2.7674 	 FL_acc 28.7059 	 Test images 10000
Round 030 	 FL_loss 2.3266 	 FL_acc 38.5617 	 Test images 10000
Round 031 	 FL_loss 2.4818 	 FL_acc 39.1727 	 Test images 10000
Round 032 	 FL_loss 2.5293 	 FL_acc 40.3245 	 Test images 10000
Round 033 	 FL_loss 2.5763 	 FL_acc 40.5950 	 Test images 10000
Round 034 	 FL_loss 2.5923 	 FL_acc 40.7552 	 Test images 10000
Round 035 	 FL_loss 2.5978 	 FL_acc 41.1358 	 Test images 10000
Round 036 	 FL_loss 2.6071 	 FL_acc 40.9455 	 Test images 10000
Round 037 	 FL_loss 2.6385 	 FL_acc 41.2059 	 Test images 10000
Round 038 	 FL_loss 2.6490 	 FL_acc 41.4964 	 Test images 10000
Round 039 	 FL_loss 2.6575 	 FL_acc 41.6867 	 Test images 10000
Round 040 	 FL_loss 2.6788 	 FL_acc 41.9371 	 Test images 10000
Round 041 	 FL_loss 2.6815 	 FL_acc 41.9471 	 Test images 10000
Round 042 	 FL_loss 2.6928 	 FL_acc 42.5080 	 Test images 10000
Round 043 	 FL_loss 2.7006 	 FL_acc 42.4880 	 Test images 10000
Round 044 	 FL_loss 2.7385 	 FL_acc 42.0773 	 Test images 10000
Round 045 	 FL_loss 2.7194 	 FL_acc 42.6082 	 Test images 10000
Round 046 	 FL_loss 2.7471 	 FL_acc 42.3678 	 Test images 10000
Round 047 	 FL_loss 2.7617 	 FL_acc 42.7684 	 Test images 10000
Round 048 	 FL_loss 2.7458 	 FL_acc 43.0088 	 Test images 10000
Round 049 	 FL_loss 2.7615 	 FL_acc 42.9287 	 Test images 10000
Round 050 	 FL_loss 2.7753 	 FL_acc 42.9487 	 Test images 10000
Best FL accuracy: 43.00881576538086 on round 48
Defense Method:  none
Finished computations with time: 0:12:22.443188

Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 3.6477 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 3.5623 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 3.4246 	 FL_acc 10.0160 	 Test images 10000
Round 004 	 FL_loss 3.1288 	 FL_acc 10.0260 	 Test images 10000
Round 005 	 FL_loss 2.9810 	 FL_acc 10.9675 	 Test images 10000
Round 006 	 FL_loss 3.2584 	 FL_acc 10.1763 	 Test images 10000
Round 007 	 FL_loss 3.4121 	 FL_acc 10.0861 	 Test images 10000
Round 008 	 FL_loss 3.0159 	 FL_acc 10.2163 	 Test images 10000
Round 009 	 FL_loss 3.2889 	 FL_acc 13.2712 	 Test images 10000
Round 010 	 FL_loss 2.9932 	 FL_acc 10.2163 	 Test images 10000
Round 011 	 FL_loss 3.0348 	 FL_acc 13.4615 	 Test images 10000
Round 012 	 FL_loss 3.0037 	 FL_acc 10.6671 	 Test images 10000
Round 013 	 FL_loss 2.9065 	 FL_acc 18.5797 	 Test images 10000
Round 014 	 FL_loss 2.8814 	 FL_acc 11.2079 	 Test images 10000
Round 015 	 FL_loss 3.0326 	 FL_acc 18.9804 	 Test images 10000
Round 016 	 FL_loss 2.8302 	 FL_acc 14.0124 	 Test images 10000
Round 017 	 FL_loss 2.9899 	 FL_acc 22.4259 	 Test images 10000
Round 018 	 FL_loss 2.9158 	 FL_acc 12.9207 	 Test images 10000
Round 019 	 FL_loss 2.8478 	 FL_acc 23.9984 	 Test images 10000
Round 020 	 FL_loss 2.9198 	 FL_acc 16.2059 	 Test images 10000
Round 021 	 FL_loss 3.0506 	 FL_acc 23.9383 	 Test images 10000
Round 022 	 FL_loss 2.8540 	 FL_acc 14.9139 	 Test images 10000
Round 023 	 FL_loss 2.9535 	 FL_acc 25.5809 	 Test images 10000
Round 024 	 FL_loss 2.8222 	 FL_acc 20.6330 	 Test images 10000
Round 025 	 FL_loss 2.8397 	 FL_acc 28.8462 	 Test images 10000
Round 026 	 FL_loss 2.8359 	 FL_acc 20.8133 	 Test images 10000
Round 027 	 FL_loss 2.8165 	 FL_acc 29.2268 	 Test images 10000
Round 028 	 FL_loss 2.9457 	 FL_acc 22.0353 	 Test images 10000
Round 029 	 FL_loss 2.8520 	 FL_acc 31.7708 	 Test images 10000
Round 030 	 FL_loss 2.3079 	 FL_acc 40.1743 	 Test images 10000
Round 031 	 FL_loss 2.4417 	 FL_acc 40.2444 	 Test images 10000
Round 032 	 FL_loss 2.4813 	 FL_acc 40.9756 	 Test images 10000
Round 033 	 FL_loss 2.5163 	 FL_acc 41.2961 	 Test images 10000
Round 034 	 FL_loss 2.5274 	 FL_acc 41.8069 	 Test images 10000
Round 035 	 FL_loss 2.5544 	 FL_acc 42.2276 	 Test images 10000
Round 036 	 FL_loss 2.5598 	 FL_acc 42.4179 	 Test images 10000
Round 037 	 FL_loss 2.5871 	 FL_acc 42.6282 	 Test images 10000
Round 038 	 FL_loss 2.6002 	 FL_acc 42.8686 	 Test images 10000
Round 039 	 FL_loss 2.6191 	 FL_acc 42.9287 	 Test images 10000
Round 040 	 FL_loss 2.6410 	 FL_acc 43.2893 	 Test images 10000
Round 041 	 FL_loss 2.6461 	 FL_acc 43.1490 	 Test images 10000
Round 042 	 FL_loss 2.6743 	 FL_acc 43.4395 	 Test images 10000
Round 043 	 FL_loss 2.6849 	 FL_acc 43.6498 	 Test images 10000
Round 044 	 FL_loss 2.7201 	 FL_acc 43.2492 	 Test images 10000
Round 045 	 FL_loss 2.7277 	 FL_acc 43.6999 	 Test images 10000
Round 046 	 FL_loss 2.7288 	 FL_acc 43.6398 	 Test images 10000
Round 047 	 FL_loss 2.7652 	 FL_acc 43.8401 	 Test images 10000
Round 048 	 FL_loss 2.7571 	 FL_acc 43.8902 	 Test images 10000
Round 049 	 FL_loss 2.7759 	 FL_acc 44.0705 	 Test images 10000
Round 050 	 FL_loss 2.7859 	 FL_acc 44.1607 	 Test images 10000
